YYYY/MM/DD,USD米ドル,GBP英ポンド,EURユーロ,CADカナダドル,CHFスイスフラン,SEKスウェーデンクローネ,DKKデンマーククローネ,NOKノルウェークローネ,AUDオーストラリアドル,NZDニュージーランドドル,ZAR南アフリカランド,BHDバーレーンディナール,CNY中国人民元,HKD香港ドル,INRインドルピー,PHPフィリピンペソ,SGDシンガポールドル,THBタイバーツ,KWDクウェートディナール,SARサウジアラビアリアル,AEDUAEディルハム,MXNメキシコペソ,PGKパプアニューギニアキナ,HUFハンガリーフォリント,CZKチェココロナ,PLNポーランドズロチ,TRYトルコリラ,TWD台湾ドル,KRW(100)韓国ウォン,IDR(100)インドネシアルピア,MYRマレーシアリンギ,RUBロシアルーブル
2024/1/4,143.44,181.71,156.61,107.45,168.71,13.95,21,13.86,96.48,89.51,7.67,380.58,20.03,18.37,1.72,2.58,107.91,4.16,466.47,38.25,39.06,8.43,39.68,0.41,6.34,35.95,4.83,4.62,10.95,0.93,30.93,1.56
2024/1/5,144.97,183.94,158.71,108.58,170.57,14.21,21.28,14.09,97.29,90.45,7.76,384.64,20.2,18.56,1.74,2.61,109.07,4.19,471.14,38.66,39.48,8.53,40.17,0.42,6.43,36.48,4.87,4.67,11.04,0.94,31.24,1.59
2024/1/9,143.95,183.59,157.67,107.82,169.79,14.09,21.14,13.88,96.81,90,7.75,381.93,20.09,18.44,1.73,2.59,108.4,4.13,468.59,38.39,39.2,8.56,39.82,0.42,6.43,36.35,4.82,4.65,10.98,0.93,31,1.58
2024/1/10,144.69,183.96,158.19,108.07,169.76,14.11,21.21,13.98,96.81,90.23,7.75,383.89,20.14,18.51,1.74,2.58,108.72,4.14,470.69,38.59,39.4,8.52,40.06,0.42,6.44,36.41,4.83,4.66,10.96,0.93,31.12,1.61
2024/1/11,145.63,185.62,159.81,108.87,171.17,14.25,21.43,14.09,97.7,90.83,7.8,386.39,20.28,18.63,1.76,2.59,109.42,4.16,473.44,38.84,39.66,8.58,40.32,0.42,6.5,36.9,4.88,4.68,11.04,0.94,31.41,1.63
2024/1/12,145.32,185.59,159.5,108.58,170.5,14.17,21.39,14.12,97.34,90.72,7.79,385.57,20.27,18.59,1.75,2.59,109.26,4.15,472.74,38.75,39.57,8.6,40.24,0.42,6.47,36.63,4.86,4.68,11.05,0.93,31.31,1.64
2024/1/15,145.15,184.91,158.95,108.29,170.08,14.12,21.32,14.11,97.12,90.47,7.79,385.12,20.2,18.56,1.75,2.6,109,4.16,472.65,38.71,39.53,8.61,40.19,0.42,6.45,36.5,4.83,4.66,11.02,0.93,31.25,1.65
2024/1/16,145.92,185.23,159.39,108.47,170.17,14.09,21.37,14.05,96.74,90.11,7.79,387.16,20.29,18.65,1.76,2.61,109.23,4.16,474.85,38.91,39.74,8.62,40.32,0.42,6.45,36.48,4.85,4.66,10.98,0.94,31.16,1.67
2024/1/17,147.44,186.33,160.33,109.28,171.06,14.12,21.5,14.08,97.16,90.48,7.77,391.19,20.43,18.84,1.78,2.63,109.85,4.16,479.01,39.32,40.15,8.56,40.8,0.42,6.48,36.53,4.91,4.68,11.02,0.95,31.35,1.68
2024/1/18,148.23,187.82,161.38,109.81,171.42,14.19,21.63,14.08,97.06,90.69,7.78,393.29,20.54,18.95,1.79,2.65,110.31,4.18,481.42,39.52,40.36,8.62,40.94,0.43,6.52,36.65,4.93,4.7,11.05,0.95,31.44,1.67
2024/1/19,148.2,188.38,161.26,109.87,170.64,14.14,21.62,14.09,97.56,90.76,7.84,393.21,20.55,18.95,1.78,2.65,110.33,4.18,481.33,39.52,40.35,8.64,40.99,0.42,6.52,36.8,4.94,4.7,11.1,0.95,31.44,1.66
2024/1/22,148.17,188.32,161.49,110.31,170.62,14.17,21.65,14.13,97.84,90.77,7.79,393.13,20.58,18.95,1.78,2.65,110.62,4.19,481.7,39.51,40.34,8.67,40.98,0.42,6.51,37.06,4.92,4.72,11.1,0.95,31.46,1.68
2024/1/23,148.17,188.38,161.27,109.96,170.53,14.16,21.62,14.09,97.51,90.1,7.72,392.92,20.6,18.95,1.78,2.63,110.46,4.17,481.38,39.51,40.34,8.63,40.89,0.42,6.51,36.95,4.9,4.73,11.08,0.95,31.31,1.68
2024/1/24,148.16,188.09,160.87,110.06,170.36,14.13,21.58,14.1,97.46,90.39,7.79,393.1,20.68,18.94,1.78,2.63,110.5,4.15,481.66,39.54,40.34,8.57,40.89,0.42,6.46,36.67,4.89,4.72,11.07,0.95,31.35,1.67
2024/1/25,147.85,187.87,160.79,109.3,171.02,14.16,21.57,14.12,97.15,90.35,7.82,392.28,20.66,18.91,1.78,2.63,110.33,4.14,480.66,39.43,40.26,8.58,40.87,0.41,6.48,36.75,4.9,4.73,11.08,0.94,31.26,1.67
2024/1/26,147.65,187.53,160.08,109.55,170.2,14.13,21.48,14.15,97.2,90.18,7.82,391.75,20.55,18.88,1.78,2.62,110.14,4.13,479.69,39.38,40.21,8.59,40.81,0.42,6.48,36.59,4.89,4.72,11.04,0.93,31.19,1.66
2024/1/29,148.28,188.2,160.77,110.19,171.58,14.17,21.56,14.21,97.54,90.41,7.89,393.42,20.62,18.97,1.78,2.63,110.46,4.16,482.21,39.54,40.37,8.63,40.9,0.41,6.5,36.78,4.9,4.74,11.09,0.94,31.35,1.65
2024/1/30,147.38,187.44,159.76,109.97,171.11,14.17,21.43,14.17,97.6,90.55,7.83,391.03,20.5,18.86,1.77,2.62,110.04,4.18,479.13,39.31,40.13,8.57,40.72,0.41,6.45,36.57,4.85,4.73,11.08,0.93,31.19,1.65
2024/1/31,147.55,187.31,159.91,110.1,171.21,14.17,21.46,14.12,97.1,90.46,7.86,391.38,20.52,18.88,1.78,2.62,110.17,4.18,479.68,39.35,40.18,8.6,40.66,0.41,6.46,36.8,4.86,4.74,11.09,0.94,31.22,1.64
2024/2/1,146.84,186.33,158.79,109.37,170.23,14.14,21.3,13.97,96.56,89.95,7.87,389.6,20.44,18.78,1.77,2.61,109.64,4.14,477.68,39.16,39.97,8.54,40.54,0.41,6.41,36.64,4.84,4.7,11.02,0.93,31.06,1.63
2024/2/2,146.48,186.64,159.28,109.49,170.86,14.1,21.37,14.04,96.35,90.06,7.88,388.64,20.36,18.73,1.77,2.61,109.58,4.14,476.36,39.07,39.88,8.58,40.44,0.42,6.4,36.89,4.82,4.69,11.04,0.93,30.99,1.62
2024/2/5,148.79,187.58,160.28,110.33,171.44,14.12,21.5,13.99,96.55,90,7.85,394.77,20.61,19.02,1.79,2.66,110.67,4.18,483.71,39.68,40.51,8.66,41.07,0.42,6.43,37.09,4.9,4.74,11.12,0.95,31.28,1.64
2024/2/6,148.68,186.43,159.76,109.82,170.72,14.03,21.42,13.9,96.37,90.03,7.8,394.48,20.6,19.01,1.79,2.64,110.41,4.16,483.04,39.65,40.49,8.68,40.96,0.41,6.39,36.79,4.89,4.74,11.16,0.95,31.27,1.64
2024/2/7,147.88,186.34,159.12,109.63,170.02,14.08,21.33,13.96,96.51,90.13,7.86,392.36,20.54,18.91,1.78,2.63,110.08,4.16,480.44,39.43,40.27,8.69,40.73,0.41,6.38,36.57,4.84,4.73,11.17,0.94,31.07,1.63
2024/2/8,148.16,187.11,159.67,110.07,169.56,14.15,21.41,14.01,96.66,90.61,7.85,393.1,20.54,18.95,1.79,2.65,110.28,4.17,480.88,39.51,40.34,8.7,40.88,0.41,6.41,36.79,4.84,4.73,11.17,0.95,31.14,1.62
2024/2/9,149.53,188.63,161.09,111.07,171.03,14.27,21.61,14.06,97.02,91.44,7.89,396.74,20.73,19.12,1.8,2.67,110.94,4.17,485.49,39.88,40.72,8.73,39.89,0.42,6.38,37.21,4.88,4.77,11.22,0.96,31.28,1.64
2024/2/13,149.39,188.57,160.94,111.02,170.52,14.36,21.59,14.23,97.49,91.5,7.9,396.37,20.69,19.11,1.8,2.67,111.02,4.16,485.35,39.84,40.68,8.75,39.84,0.42,6.37,37.32,4.87,4.76,11.24,0.96,31.41,1.64
