swing_id,club_type,impact_grip_speed,impact_head_speed,max_head_speed,max_grip_speed,impact_face_angle,impact_face_type,impact_relative_face_angle,impact_club_path,impact_club_path_type,impact_attack_angle,impact_attack_type,impact_dynamic_loft_angle,impact_shaft_angular_velocity,min_angular_velocity,max_angular_velocity,address_lie_angle,impact_lie_angle,natural_uncock,natural_release_timing,swing_tempo,estimated_carry,impact_position_x,impact_position_y,impact_position_type,halfway_back_face_angle,top_face_angle,halfway_down_face_angle,impact_hand_first_pitch,address_hand_first_pitch,hogan_plane,shaft_plane,boundary_angle_a_and_b,boundary_angle_b_and_c,boundary_angle_c_and_d,boundary_angle_d_and_e,halfway_back_angle,top_angle,natural_uncock_angle,halfway_down_angle,halfway_back_area,top_area,natural_uncock_area,halfway_down_area
273d6f61b05fc6e77d6bb4c7dfc53084,7I,2.046047688,8.915528297,9.233592987,2.065108776,9.505992889,0,17.63793945,-8.131946564,2,-2.648684025,1,30.24296188,-136.3414612,-117.4390259,54.63414764,53.52526093,59.711483,0.923007727,10.61452484,4.469273567,36.0492897,0.097361028,0.774202704,1,0,-24.93637276,0,-6.917151451,-1.760231018,68.64937592,53.52526093,72.43040466,64.86834717,57.30628967,49.74423218,0,76.07534027,120.8477402,0,A,A,A,A
6bb44176ba22bdc11fa8ef62b8ac0ab9,7I,2.30252552,9.214802742,9.841785431,2.680391788,20.49942207,0,21.04447556,-0.545053184,1,-2.994672537,1,25.20370483,-37.43902588,-118.7804871,32.80487823,53.84317017,60.67806625,14.09742832,15.49295807,4.444444656,37.25938416,0.910710514,-0.139638603,4,-51.76008224,-42.72449493,-48.60170364,-11.9448452,3.326272964,68.83730316,53.84317017,72.58583069,65.08877563,57.59170532,50.09463501,80.83291626,79.12697601,86.36989594,78.2570343,A,A,A,A
92a7fb22b28e3e17a7ec00b7d51175a7,7I,2.034721613,9.399542809,9.539187431,2.573727846,14.21354294,0,18.03624344,-3.822700977,1,-3.900818586,2,27.70387459,-230,-130.2439117,51.341465,53.65974045,60.69494629,20.94262886,15.72123146,4.116693497,38.00636673,0.97884059,-0.176765412,4,0,-28.5445385,0,-9.442361832,-5.688907623,68.72888184,53.65974045,72.49617004,64.96159363,57.42702866,49.89245605,0,72.07704926,86.05926514,0,B,B,A,B
42bcaaa8d4c8ee72a8832ba6535cb798,7I,2.698303938,9.86442852,9.933092117,2.905129194,16.15571594,0,25.79235268,-9.636636734,2,-0.990626872,1,24.63978195,-231.2195129,-241.7073212,60.85366058,54.16115189,61.11571503,7.119316101,9.677418709,4.580645084,39.88609695,0.772743046,0.000859302,1,0,-30.85189056,0,-12.2719183,-3.388289213,69.02523041,54.16115189,72.74124908,65.30921173,57.87717056,50.44513321,0,74.12914276,117.8102188,0,A,A,A,A
cb94130c6899a60736206feac43c2c50,7I,2.498048782,9.680497169,9.680497169,2.503183126,15.82343006,0,20.70575714,-4.882328033,1,-3.986870289,2,25.98487091,-98.4146347,-109.6341476,88.53659058,55.71891022,62.45010376,0.205111504,13.64421368,4.075993061,39.14238739,0.174759328,0.484378338,1,0,-24.92108917,0,-10.52024364,-4.45517683,69.94512177,55.71891022,73.50167084,66.38856506,59.2754631,52.16236115,0,76.06489563,94.02009583,0,A,A,A,A
3b2dc68268874a210c71d82a15a5bee4,7I,4.924023151,20.58124542,22.98254585,4.924023151,10.93600178,0,14.04974651,-3.113744974,1,-5.547447205,2,23.32652855,-251.8292694,-496.3414612,-124.146347,50.88223267,56.7733345,0,0,4.287548065,83.21876526,1.101734877,-0.372876346,4,-59.05727005,-76.99914551,-38.95069122,-14.2060833,-14.85271072,67.08492279,50.88223267,71.13559723,63.03425217,54.93290329,46.83156204,70.13531494,68.13285828,0,63.72796631,B,B,E,B
4c6af2e0b7bd5ec25ac23817930653b1,7I,3.892187119,19.06098175,19.30148315,3.968840122,-4.333539486,2,-4.924837112,0.591297448,1,14.76463127,0,46.67990112,-858.1707764,-780.487793,11.58536625,50.34285736,52.07233047,1.931369305,0.223463684,4.067039013,77.07168579,1.207653642,-0.514309824,4,-28.98390961,-100.0187836,-12.8484621,8.653923035,4.134869099,66.76519775,50.34285736,70.87078094,62.65961075,54.44844437,46.23727417,58.50944901,61.90795517,-114.6007767,53.55310059,C,C,E,D
a02da03d539c2f70d48ba30360b892a6,7I,2.906610727,18.00429535,18.00429535,3.468813419,39.56815338,0,18.10699081,21.46116257,0,-4.308460236,2,8.010613441,-692.5609741,-646.3414917,-79.14634705,44.4308548,58.67449188,16.20734978,11.14836597,2.66554904,72.79905701,1.510596633,-0.789727867,4,-34.59171677,-21.54424286,32.29747391,-24.58636665,-7.756568909,63.24918365,44.4308548,67.95376587,58.54460526,49.13543701,39.72627258,58.2992897,66.3808136,34.33123398,40.65164948,C,B,E,D
3d31062b4b0a2d114b75d9778e0845fd,7I,4.22852993,24.20066071,24.20066071,4.636606693,21.07332039,0,22.16011238,-1.086791635,1,-5.375070095,2,22.83901405,-1016.097595,-954.6341553,-212.9268341,50.58841705,55.4670372,8.801192284,11.35190964,3.219814301,97.85360718,1.484759331,-0.825527072,4,-27.99324226,40.9080925,-7.937229633,-16.56582069,-9.98130703,66.91077423,50.58841705,70.99136353,62.83018494,54.66900635,46.50783157,62.77189636,65.46273804,54.95658493,55.67799759,C,B,C,C
a23317154cd8fd18c1124e1461708a6e,7I,3.806925297,22.46243095,23.28234291,4.710456848,15.93807697,0,16.55622482,-0.618148267,1,-0.369921446,1,31.32865906,-720.487793,-727.6829224,-129.5121918,49.66976929,55.68828583,19.1814003,13.82385826,3.188405752,90.82520294,0.352612913,0.609408796,1,-24.42553902,-109.6450272,-7.194919586,-8.367968559,-12.68687534,66.3659668,49.66976929,70.54000854,62.19191742,53.84381866,45.49572372,56.76503754,61.2899971,52.72016144,53.91926193,C,C,D,C
5f136fa5c193751db2a42c01a539619a,7I,4.651290894,22.32704163,22.32704163,4.833393097,18.97234154,0,16.18143845,2.790902138,1,2.857094765,1,30.75527763,-995,-950,-58.04878235,48.93074417,55.80661011,3.767585754,5.669599533,3.421309948,90.27776337,1.258434057,-0.453116119,4,-35.00087738,-58.3898468,7.970014095,-8.881066322,-10.64251995,65.92733002,48.93074417,70.17647552,61.67818069,53.17988968,44.68159866,64.06071472,62.53863907,32.22248077,50.27968597,B,B,E,D
00f0ad5a422fe10cd51f07778afdad13,7I,5.03357172,25.20936775,26.07531166,5.383045197,11.97298813,0,6.905019283,5.067968845,0,1.238113999,1,31.14197922,-987.5609741,-892.8048706,-43.4146347,47.94617462,51.72817993,6.492114067,7.260726452,3.542354345,101.9322433,2.574775696,-1.788238883,4,-37.05928421,19.20338058,-14.57389164,-9.995154381,-14.15318203,65.34244537,47.94617462,69.69151306,60.99337769,52.29524612,43.59710693,60.12106705,62.58403397,44.25234985,51.28140259,C,B,D,D
003652ff1d6bbf490b0f4d86dc5a912e,7I,5.37967205,22.9851265,23.41449356,5.380278587,21.79167938,0,11.7489748,10.04270458,0,0.203667969,1,18.8409977,-976.5853882,-946.0975952,38.90243912,51.33669662,59.96304703,0.011271238,0.24968788,4.744070053,92.93869019,1.245393515,-0.467522621,4,-41.29195404,-61.26787186,-27.34819603,-18.34941673,-14.01006222,67.35419464,51.33669662,71.35857391,63.34981918,55.34107208,47.33232117,54.85269928,65.73709106,48.14914703,57.97513199,D,B,D,C
52ec6799109d962a2ce54ebbeed787a6,7I,5.673286438,24.95115852,25.341362,5.673286438,21.75582886,0,16.38196754,5.373860836,0,-0.708690107,1,23.62942123,-849.6341553,-785.8536987,-8.658536911,50.46781158,57.43801498,0,0,4.485006332,100.8881912,1.247133374,-0.43806988,4,-34.75518417,-42.31819916,-16.416502,-14.85238838,-15.49696541,66.83927155,50.46781158,70.93214417,62.74640656,54.56067657,46.37494278,51.63698196,64.84918976,0,53.45257187,D,B,E,D
afa02c6b7886c00a5487315f22e7aa59,7I,4.655936241,24.92850876,24.92850876,4.96902132,15.70184898,0,18.97682381,-3.274974585,1,-5.01491642,2,24.78026199,-876.8292847,-824.512207,-107.68293,48.5741539,53.83078384,6.300741196,13.33333397,4.339394093,100.796608,1.447328329,-0.623130918,4,-35.57413864,-63.52938843,-25.75876617,-15.16753292,-12.25459671,65.71556091,48.5741539,70.0009079,61.43021011,52.8595047,44.2888031,62.14782333,62.31790161,58.1676445,58.30187225,B,B,C,C
2b81f884a4079dda618dff2d82be6961,7I,4.899699688,23.8110733,24.16330147,4.899699688,19.03879547,0,14.17696571,4.861829758,1,0.94653511,1,25.15103722,-745,-645.8536987,13.04878044,49.81287003,55.69585419,0,0,3.557126045,96.27833557,1.37061286,-0.521044016,4,-43.30322266,-33.74076843,-15.93908501,-14.26350594,-15.29733467,66.45085907,49.81287003,70.61035919,62.29136658,53.97236633,45.65337372,62.7901001,62.41934967,0,53.24052429,B,B,E,D
9f546e992447feef59ac2b08e8dba121,7I,4.710948467,25.76789665,25.76789665,4.89323473,9.565140724,0,8.408370018,1.156770587,1,-0.74270761,1,34.55864716,-677.4390259,-633.6585693,-169.0243988,49.09386444,49.72621918,3.725272417,12.84185505,3.876337767,104.1906128,1.749881268,-1.063601255,4,-28.51060486,-62.99008942,-19.73668671,-7.483354092,-11.59028244,66.02417755,49.09386444,70.25675201,61.79159546,53.32644272,44.86128235,57.98839569,55.06590652,50.45174026,50.78631973,C,C,D,D
